url_length,domain_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,and_count,is_https,has_ip,has_suspicious_words,subdomain_count,domain_entropy,suspicious_tld,is_shortened,digit_ratio,vowel_ratio,consecutive_chars,page_length,word_count,form_count,has_password_field,total_links,external_links,urgency_score,fear_score,brand_mentions,credibility_score
22,14,0,0,2,0,0,2,0,0,0,0,1,0,0,0,2.8423709931771093,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
23,14,1,0,2,0,0,3,0,0,0,0,1,0,0,0,2.8423709931771093,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
29,14,7,0,2,0,0,3,0,0,0,0,1,0,0,0,2.8423709931771093,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
28,14,6,0,2,0,0,3,0,0,0,0,1,0,0,0,2.8423709931771093,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
30,14,8,0,2,0,0,3,0,0,0,0,1,0,0,0,2.8423709931771093,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
22,14,0,0,2,0,0,2,0,0,0,0,1,0,1,0,2.8962915290459277,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
23,14,1,0,2,0,0,3,0,0,0,0,1,0,1,0,2.8962915290459277,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
29,14,7,0,2,0,0,3,0,0,0,0,1,0,1,0,2.8962915290459277,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
28,14,6,0,2,0,0,3,0,0,0,0,1,0,1,0,2.8962915290459277,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
30,14,8,0,2,0,0,3,0,0,0,0,1,0,1,0,2.8962915290459277,0,0,0.0,0.2857142857142857,3,0,0,0,0,0,0,0,0,0,0
25,17,0,0,2,0,0,2,0,0,0,0,1,0,0,0,3.1751231351134614,0,1,0.0,0.23529411764705882,3,0,0,0,0,0,0,0,0,0,0
26,17,1,0,2,0,0,3,0,0,0,0,1,0,0,0,3.1751231351134614,0,1,0.0,0.23529411764705882,3,0,0,0,0,0,0,0,0,0,0
32,17,7,0,2,0,0,3,0,0,0,0,1,0,0,0,3.1751231351134614,0,1,0.0,0.23529411764705882,3,0,0,0,0,0,0,0,0,0,0
